Key,Value
22,"Ihr seid in %cn.[/center]
 [/center]
 Es ist %tim Uhr, %dat.[/center]
 [/center]
 In den Augen des Gesetzes von %crn[/center]
 seid Ihr %ltn.[/center]
[/end]"
23,"Ihr müsst mindestens 12 Stunden warten,[/center]
bevor Ihr weiter ausgebildet werden könnt.[/center]
[/end]"
24,"Dieser Gegenstand muss nicht repariert werden.[/center]
[/end]"
25,"Von den %gii Goldstücken in Eurem Besitz[/center]
möchtet Ihr wie viele ablegen?[/center]
[/input] [/center]
[/end]"
26,"Ihr könnt nicht länger als 99 Stunden am Stück rasten.[/center]
[/end]"
27,"Ihr könnt nicht länger als[/center]
3 Stunden am Stück warten.[/center]
[/end]"
28,%hnt[/end]
29,"%it ist zerbrochen.[/record]
[/end]"
30,"Ihr seid nicht krank.[/center]
[/end]"
31,"Wollt Ihr reisen nach[/center]
%tcn ?[/center]
[/end]"
32,"Die Seele wurde befreit.[/center]
[/end]"
33,"Ihr könnt magische Gegenstände nicht reparieren.[/record]
[/end]"
34,"Ihr habt keine Zutaten für einen Trank.[/record]
[/end]"
35,"Euer Ruf hat sich wie folgt verändert:[/left]
[/left]
[/pos:x=10,y=0]Bürgerliche:[/pos:x=70,y=0]%r1[/left]
[/pos:x=10,y=0]Händler:[/pos:x=70,y=0]%r2[/left]
[/pos:x=10,y=0]Gelehrte:[/pos:x=70,y=0]%r3[/left]
[/pos:x=10,y=0]Adel:[/pos:x=70,y=0]%r4[/left]
[/pos:x=10,y=0]Unterwelt:[/pos:x=70,y=0]%r5[/left]
[/end]"
36,"Es ist zu lange her, dass Ihr als Vampir Euren[/center]
Blutdurst gestillt habt. Ihr seid nun nicht fähig,[/center]
Eure Stärke wiederzuerlangen.[/center]
[/end]"
37,"Das scheint Privateigentum zu sein.[/center]
Wollt Ihr immer noch hineinschauen?[/end]"
38,"Wollt Ihr auf Euren Wagen zugreifen[/center]
und in %cn bleiben?[/center]
[/end]"
100,"Ihr seid an Hexenpocken erkrankt.[/center]
Die Krankheit wird langsam von Eurer Stärke,[/center]
Konstitution und Gesundheit zehren, bis Ihr[/center]
geheilt oder gestorben seid.[/center]
[/end]"
101,"Ihr seid an der Pest erkrankt, einem sehr[/center]
ernsten und häufig tödlichen Leiden, das sich[/center]
rasend schnell in Eurem Körper verbreitet.[/center]
Nur wenige, die sich damit infizierten,[/center]
leben noch länger als ein paar Tage,[/center]
wenn sie nicht sofort geheilt werden.[/center]
[/end]"
102,"Ihr seid an Gelbfieber erkrankt.[/center]
Eure Konstitution, Willenskraft und Gesundheit[/center]
wird sich Tag für Tag verschlechtern, bis Ihr[/center]
eine Heilung findet oder sterbt.[/center]
[/end]"
103,"Ihr seid an Magenfäule erkrankt.[/center]
Es ist ein permanentes Leiden, bei dem[/center]
sich Eure Gesundheit jeden Tag ein wenig[/center]
verschlechtert, bis Ihr geheilt werdet.[/center]
[/end]"
104,"Ihr seid an Schwindsucht erkrankt.[/center]
Eure Willenskraft, Geschicklichkeit und[/center]
Stärke werden Euch langsam verlassen,[/center]
bis Ihr geheilt seid oder sterbt.[/center]
[/end]"
105,"Ihr seid an Hirnfieber erkrankt.[/center]
Es ist ein schleichender Tod, wenn Eure Willenskraft,[/center]
Eure Gesundheit, selbst Euer Charisma Tag für Tag[/center]
davonrinnt. Ihr müsst eine Heilung finden,[/center]
oder Euch dem Vergessen stellen.[/center]
[/end]"
106,"Ihr seid an Sumpffäule erkrankt.[/center]
Jeden Tag werden Eure Willenskraft, Geschicklichkeit[/center]
und Stärke weiter verfallen, bis ihr dahinschwindet[/center]
oder Heilung findet.[/center]
[/end]"
107,"Ihr seid an Calirons Fluch erkrankt.[/center]
Manche konnten sich selbst in ein oder[/center]
zwei Wochen heilen, aber ihre Stärke,[/center]
Schnelligkeit und Geschicklichkeit blieb[/center]
verkümmert. Es wäre das Beste, diese[/center]
Krankheit schnell zu heilen.[/center]
[/end]"
108,"Ihr seid an der Cholera erkrankt,[/center]
einem der verhängnisvollsten Leiden Tamriels[/center]
und immer tödlich, wenn Ihr nicht sehr, sehr[/center]
schnell Hilfe erhaltet.[/center]
[/end]"
109,"Ihr seid an Lepra erkrankt,[/center]
und werdet langsam verkümmern, jeden Tag ein[/center]
wenig mehr, wenn Ihr keine Heilung findet.[/center]
[/end]"
110,"Ihr seid an Wundfäule erkrankt,[/center]
die sehr langsam Eure Stärke, Konstitution[/center]
und Gesundheit zerfressen wird, bis Ihr[/center]
Euch selbst geheilt habt.[/center]
[/end]"
111,"Ihr seid am Roten Tod erkrankt,[/center]
einem sehr ernsten Leiden, welches die[/center]
Konstitution und selbst das Charisma des[/center]
Opfers schnell senken kann, bis ein Heilmittel[/center]
verabreicht wurde oder das Opfer stirbt.[/center]
[/end]"
112,"Ihr seid an der Blutfäule erkrankt,[/center]
welche Eure Gesundheit, Charisma und[/center]
Willenskraft die nächsten Tage oder[/center]
Wochen hinweg senkt, wenn sie nicht[/center]
geheilt wird. Manche haben keine Heilung[/center]
gefunden und sind an dieser Krankheit[/center]
gestorben.[/center]
[/end]"
113,"Ihr seid an Typhus erkrankt,[/center]
einer tödlichen Krankheit, welche die[/center]
Intelligenz, Konstitution und Gesundheit[/center]
des Opfers befällt. Dies bleibt ein dauerhafter[/center]
Zustand, wenn nicht Heilung oder Tod eintritt.[/center]
[/end]"
114,"Ihr seid an Demenz erkrankt,[/center]
einer abscheulichen Krankheit, welche dem[/center]
Opfer langsam Intelligenz, Willenskraft und[/center]
sogar Charisma nimmt, bis er oder sie stirbt[/center]
oder geheilt wird.[/center]
[/end]"
115,"Ihr seid an Chrondiasis erkrankt,[/center]
einer magischen Krankheit, welche Tag für Tag[/center]
Eure Intelligenz und angeborene Magie aufzehren[/center]
wird. Diese Krankheit muss geheilt werden, oder[/center]
sie tötet Euch irgendwann.[/center]
[/end]"
116,"Ihr seid am Zaubererfieber erkrankt,[/center]
einem manchmal bloß lästigen, manchmal[/center]
verheerenden magische Gebrechen. Manche[/center]
litten darunter und bemerkten es kaum, bis[/center]
das Fieber von alleine verschwand, während[/center]
andere geistesschwach zurückblieben. Eure[/center]
angeborene Magie und Intelligenz wird drei[/center]
Wochen lang Tag für Tag dahinschwinden.[/center]
[/end]"
117,"Ihr wurdet vergiftet.[/center]
[/end]"
200,"Warum schreibt ein %ra die Buchstaben ""D.Z.Z."" auf seine Stiefel? Als Notiz an sich selbst - die Zehen zuerst![/record]
Die meisten %ra Stammbäume spalten sich nie auf![/record]
Was haben %ra und eine Flasche Portwein gemeinsam? Beide sind über dem Hals leer![/record]
Nun, vielleicht könntest du ein %ra sein, wenn du Schmalz unter den Zehennägeln hättest![/record]
Wie bringt man die Augen von einem %ra zum leuchten? Steckt ihm eine Fackel ins Ohr![/record]
Weißt du, vielleicht bist du ja ein %ra, wenn sich noch Essensreste auf deiner Rüstung finden lassen![/record]
Was hat das %ra Mädchen gesagt, nachdem ihr jemand ins Ohr geblasen hat? ""Danke für's Nachfüllen!""[/record]
Wie nennt man einen %ra mit einem halben Gehirn? Geistreich![/record]
Warum tragen %ra Frauen Unterwäsche? Um ihre Knöchel warm zu halten![/record]
Wie bringt man einen %ra am Morndas zum lachen? Erzähl ihm einen Witz am Fredas![/record]
Weißt du, es braucht nur einen Krug, um einen %ra betrunken zu machen. Kann mich nicht erinnern, ob's der dreizehnte oder vierzehnte war.[/record]
Wie nennt man einen Keller mit mehr als einem %ra? Einen WEINKELLER![/record]
Drüben beim %nt kostet Spucken ein Goldstück. Aber Erbrechen ist kostenlos![/record]
Was hat ein gescheiter %ra mit einem Orkoblin gemeinsam? Beide sind ausgestorben![/record]
Weißt du, viele Leute sagen, dass %ra Kinder zu viel aufschieben. Nun, wartet einfach ab![/record]
Was macht ein %ra, wenn er seine Hände über den Ohren an den Kopf hält? Er versucht, einen Gedanken festzuhalten![/record]
Woher weiß man, dass ein %ra lügt? Er bewegt seine Lippen![/record]
Was sagst du zu einer %ra Frau, wenn du sie überzeugen willst, mit dir ins Bett zu gehen? Trink noch ein Ale![/record]
Wie kommt es, dass %cn die meisten %ra Abenteuer hatte und %cn2 die meisten Goblins? %cn2 hatte die erste Wahl! [/record]
Was macht eine %ra Frau morgens als erstes? Nach Hause gehen![/record]
Was hat die %ra Frau als erstes gesagt, nachdem man ihr gesagt hatte, dass sie schwanger war? ""Ist das meins?!""[/record]
Was einem %ra an Intelligenz fehlt, das macht er an Dummheit wieder wett. Ich würde niemals intelligente Lebewesen fressen, aber mit Vergnügen einen Politiker oder einen %ra. [/end]"
201,"Bei Thorigs Barte[/record]
Bei Olfors Hammer[/record]
Beim Weißen Wolf[/record]
Bei den gefrorenen Einöden[/record]
Beim Raureifvater[/record]
Mutter des Eises[/record]
Frostfeuer[/record]
Bei den Klippen von Einsamkeit[/record]
Beim Nordmeer[/record]
Beim Barte Thorigs[/end]"
202,"Beim Rattengott[/record]
Hure von Alizahad[/record]
Staub von Orkruh[/record]
Beim Sand von Elsweyr[/record]
Beim gesegneten Wasser[/record]
Bei der Hand von Ibrahad[/record]
Wüstensonne[/record]
Beim trockenen Herzen[/record]
Beim Wasser des Lebens[/record]
Sandteufel[/end]"
203,"Bei den Drachenzähnen[/record]
Drachenzähne[/record]
Verfluchter Darvak[/record]
Bei meines Vaters Namen[/record]
Beim Rourken[/record]
Beim Großen Hammer[/record]
Beim Zwergenkönig[/record]
Bart des Zwergenkönigs[/record]
Beim Blute des Wächters[/record]
Beim Ersten Wyrm[/record]
Geisterschwert[/record]
Bei der Klinge[/record]
Bei Divad[/record]
Bei Katrica[/record]
Bei der Maid[/record]
Bei Frandar[/record]
Stendarr bewahre uns[/record]
Bei der Sonne[/end]"
204,"Bei Sternenfalls Wassern[/record]
Preist meinen Fürsten[/record]
Bei der Krypta[/record]
Tod sei verdammt[/record]
Bei meiner Fürstin[/record]
Bei den Nebeln[/record]
Beim Wolfe[/record]
Beim Dunkelfürst[/record]
Geister von Hochfels[/record]
Beim Erzdruiden[/record]
Bei Wahnsinn des Pelagius[/record]
Beim Drachen[/record]
Verdammt sei der Drache[/end]"
205,"Sumpfteufel[/record]
Morast von Dunkelwald[/record]
Bei den Göttern[/record]
Beim Thron von Aphikles[/record]
Bei den Klingen des Schicksals[/record]
Beim Einsamen[/record]
Beim Gebieter von Sturmfeste[/record]
Beim Sumpfgeist[/record]
Bei der Muttergöttin[/record]
Fennfeuer[/end]"
206,"Beim Eldenhain[/record]
Bei den Holzgeistern[/record]
Bei der Waldkunde
Bei Mistrias Fluch[/record]
Geister des Waldes[/record]
Feen des Hains[/record]
Bei Calirons Herz[/record]
Bei der Wurzel[/record]
Feuer von Eldenwurz[/record]
Beim Feuer[/end]"
207,"Beim Höchsten[/record]
Beim Weißen Kristall[/record]
Beim Wald von Elborn[/record]
Bei der Blauen Teilung[/record]
Feenlicht[/record]
Bei der Anderswelt[/record]
Erster Geist von Tamriel[/record]
Klinge von Cassimoran[/record]
Kristalle von Sommersend[/record]
Beim Ersten Geist[/end]"
208,"Bei der Schwarzen Insel[/record]
Bei den Dunklen[/record]
Bei den Feuern von Dagoth-Ur[/record]
Bei der Wahnkönigin[/record]
Beim Schwarzen Schlund[/record]
Dunkle Göttin beschütze uns[/record]
Bei der Nacht[/record]
Seele des Schwarzen Ritters[/record]
Bei der Seelenlosen[/record]
Feuerblut[/end]"
250,"[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %sub von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 Der %sub von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %adj von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %adj %sub von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %pp1 %sub von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %pp1 %adj %sub von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %sub %pp2 von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %adj %sub %pp2 von %an[/record]
[/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 [/left]
 %pp1 %adj %sub %pp2 von %an[/end]"
255,Woher stammt Ihr?[/end]
256,"Jemand ruft: ""Kommt rein.""[/record]
Ihr hört: ""Willkommen!""[/record]
Eine gereizte Stimmte brüllt: ""Es ist offen.""[/record]
Jemand sagt: ""Kommt doch rein.""[/record]
Eine vergnügte Stimme sagt: ""Willkommen in meinem Haus.""[/record]
Eine Stimme ruft: ""Ihr dürft eintreten.""[/end]"
260,"""Eure Anwesenheit ehrt mein bescheidenes[/center]
Geschäft, %pcn. Obwohl ich doppelt[/center]
soviel benötige, um meine hungernde Familie[/center]
zu ernähren, gebe ich es Euch für %a Goldstücke.""[/center]
[/record]
""Ihr seid ein besonders eindrucksvoller Feilscher,[/center]
%pct. Der gewöhnliche Preis liegt weitaus[/center]
höher, aber ich kann eine Ausnahme nur für Euch[/center]
machen. %a Goldstücke und es gehört Euch.""[/center]
[/record]
""Seid gegrüsst %pcf, für niemanden, nicht[/center]
einmal meine nächsten Angehörigen oder besten[/center]
Freunde würde ich es in Betracht ziehen,[/center]
dass hier für %a Goldstücke zu verkaufen.[/center]
Das heißt, für niemanden außer Euch.""[/center]
[/record]
""Dies ist weit unterhalb eines gerechten Preises -[/center]
Ich kenne den Markt. Auf der anderen Seite ist es[/center]
in bestimmten seltenen Fällen weniger wichtig, einen[/center]
Gewinn zu erzielen. Ich kann in Eurem Fall wohl einen[/center]
Verlust auf mich nehmen. %a Goldstücke und es gehört[/center]
Euch, %pcf.""[/center]
[/end]"
261,"""%cpn rühmt sich selbst, die niedrigsten[/center]
Preise in %cn zu haben. Obwohl Ihr mit[/center]
mir verhandelt habt, bis die Sonne tief[/center]
am Himmel stand, kann ich Euch dies nicht[/center]
für weniger als %a Goldstücke verkaufen.""[/center]
[/record]
""Ihr habt lang und hart mit mir gefeilscht,[/center]
%pcn. Lasst uns fertig werden. Normalerweise[/center]
würde ich mehr berechnen, aber von Euch verlange[/center]
ich nur %a Goldstücke. Freilich ist das nur ein[/center]
Almosen.""[/center]
[/end]"
262,"""Genug gefeilscht. Mein Angebot liegt bei[/center]
%a Goldstücken. Nehmt es oder verschwindet.""[/record]
""Das macht %a Goldstücke. Ihr habt es[/center]
auf diesen Betrag heruntergehandelt.""[/center]
[/record]
Nach langem Gefeilsche ...[/center]
""%a Goldstücke ist mein letztes Angebot.""[/center]
[/end]"
263,"""Genug von diesem ewigen Gefeilsche. Offenbar[/center]
leidet Ihr große Not. Normalerweise würde ich[/center]
weitaus weniger bezahlen, aber ich biete Euch[/center]
dafür %a Goldstücke.""[/center]
[/record]
""Hört zu, ich biete Euch das absolute Höchstgebot,[/center]
das ich auf mich nehmen kann, ohne mein Hemd zu verlieren.[/center]
Hier sind %a Goldstücke. Nehmt es und sagt all[/center]
Euren Freunden, dass Ihr mich betrogen habt.""[/center]
[/record]
""Ich biete Euch einen Preis an, den ich nur meinen[/center]
engsten Freunden und Angehörigen machen würde.[/center]
Der Marktwert davon ist weitaus geringer, aber ich[/center]
denke, dass ich Euch %a Goldstücke geben könnte.""[/record]
""Nicht schlecht, nicht schlecht. Ich würde den meisten[/center]
Leuten weniger geben, aber Euch biete ich %a Goldstücke.[/center]
Das ist mein absolut bestes Angebot.""[/center]
[/end]"
264,"""Es kann sein, dass Ihr woanders mehr als[/center]
%a Goldstücke für das hier bekommt, aber es[/center]
ist ein gerechter Preis und mein einziges Angebot.""[/center]
[/record]
""Ich kann Euch %a Goldstücke geben. Wenn jemand[/center]
anderes mehr anbietet, rate ich Euch, ihn aufzusuchen.[/center]
%a Goldstücke lohnen sich vollkommen.""[/center]
[/record]
""Es gibt keinen großen Markt für dergleichen,[/center]
aber ich kann es bezahlen. Ich werde Euch[/center]
%a Goldstücke geben, ein ziemlich fairer Preis.""[/center]
[/record]
""Ja, Ihr habt Recht. Allseitig gute Qualität.[/center]
Ich biete Euch ein klein wenig mehr als den[/center]
Normalpreis - %a Goldstücke""[/center]
[/end]"
265,"""Ich habe keine Zeit für jemanden wie Euch.[/center]
Ich werde Euch nur %a für solchen Schund bezahlen.""[/record]
""%a Goldstücke. Nehmt es oder verschwindet.""[/center]
[/record]
""Keine unbeholfenen Handelsversuche mehr. Ich[/center]
werde Euch %a Goldstücke geben und das ist[/center]
mein höchstes Gebot. Punkt.""[/center]
[/record]
""Hört gut zu, %ra. Wir beide wissen, dass es nicht[/center]
mehr als %a Goldstücke wert ist, nicht wahr?[/center]
Also lasst uns nicht so tun als ob. Ihr müsst dem[/center]
nicht zustimmen, aber das ist, was ich dafür bezahlen[/center]
werde.""[/center]
[/end]"
266,"Wohlgerüche und sanfte Musik beruhigen[/center]
Eure Anspannung, als Ihr über die Türschwelle[/center]
tretet. Jeder Gegenstand in diesem[/center]
Geschäft wird sorgfältig gelagert und[/center]
ausgestellt. Ihr könnt an keinem auch[/center]
nur den geringsten Makel erkennen.[/center]
[/end]"
267,"Das Geschäft ist besser ausgestattet als die meisten[/center]
anderen. Die Waren liegen ordentlich in den Regalen.[/center]
Wenn auch gewiss nicht für einen König, wurden doch[/center]
alle handwerklich geschickt angefertigt.[/center]
[/end]"
268,"Das Geschäft macht einen zweckmäßigen und[/center]
aufgeräumten Eindruck. Alle Waren scheinen[/center]
in annehmbarem Zustand.[/center]
[/end]"
269,"Die robusten Regale, welche die Waren[/center]
tragen, sind aus altem Bauholz zusammengezimmert.[/center]
Die Gegenstände sind geprüft und funktionsfähig,[/center]
aber mehr auch nicht.[/center]
[/end]"
270,"Rostige Relikte liegen da, wo sie zuletzt hingeworfen[/center]
wurden. Alle Waren zeigen die Risse und Kratzer[/center]
minderwertiger Verarbeitung. Eine Maus flitzt über[/center]
Eure Füße, bevor sie sich in einen in der Nähe[/center]
stehenden Sack einwühlt.[/center]
[/end]"
282,"Glückwunsch! Ihr habt hier in %cn[/center]
ein hübsches Haus erworben.[/center]
[/end]"
283,"Glückwunsch! Ihr habt ein seetaugliches Schiff[/center]
erworben, welches Euch sicher überall in der[/center]
Iliac-Bucht hinbefördern kann.[/end]"
284,"Ihr besitzt schon ein eigenes Schiff. Ihr müsst es[/center]
zuerst verkaufen, bevor Ihr ein anderes kaufen könnt.[/center]
[/end]"
285,"Das ist keine Hafenstadt, %pcn. Wir haben[/center]
keine Schiffe, die wir Euch verkaufen könnten.[/center]
[/end]"
286,"Ihr besitzt bereits ein Haus. Ihr müsst es zuerst[/center]
verkaufen, bevor Ihr ein anderes kaufen könnt.[/center]
[/end]"
287,"Dies ist ein Verkaufsmarkt für Häuser.[/center]
Derzeit steht jedoch keines zum Verkauf.[/center]
[/end]"
288,"%pcn, Ihr habt die Tilgung eines älteren Kredits[/center]
mit dieser Bank unterlassen. Wir werden Euch[/center]
unter keinen Umständen weiteres Geld leihen.[/center]
Vielleicht könnt Ihr eine Bank außerhalb[/center]
von %reg aufsuchen und versuchen, sie zu [/center]
betrügen.[/center]
[/end]"
289,"Ihr habt bereits einen Kredit bei dieser Bank.[/center]
Dieser muss zuerst vollständig zurückgezahlt werden,[/center]
bevor wir Euch einen weiteren Kredit gewähren können.[/center]
[/end]"
290,"So sehr ich es auch bedaure, aber Ihr habt[/center]
nicht soviel auf Eurem Konto.[/center]
[/end]"
291,"Verstehe ich richtig, dass Ihr all Eure[/left]
Kreditbriefe einzahlen wollt?[/end]"
292,"Ihr habt nicht so viel auf Eurem Konto.[/center]
Ich brauche den vollen Betrag des[/center]
Kreditbriefes, zuzüglich einem Prozent Honorar.[/center]
[/end]"
293,"Wir unterzeichnen keine Kreditbriefe für[/center]
weniger als hundert Goldstücke.[/center]
[/end]"
294,"Das ist äußert großzügig von Euch, aber wir akzeptieren[/center]
keine Überzahlungen. Hier ist das Wechselgeld.[/center]
Euer Kredit ist nun vollständig getilgt.[/center]
[/end]"
295,"Ich fürchte, wir können einer Person Eures Standes[/center]
nicht so viel Gold leihen. Für Euch liegt die Grenze[/center]
bei %ml Goldstücken.[/center]
[/end]"
296,"Wir vergeben keine Kredite über weniger[/center]
als einhundert Goldstücke.[/center]
[/end]"
297,"Ich fordere die Bezahlung für die Bank von %reg ein! Ihr habt[/center]
die Rückzahlung des Kredits versäumt[/center]
und müsst nun die Strafe zahlen![/center]
[/end]"
298,"Wir würden Euer Haus gerne für die großzügige[/center]
Summe von %a Goldstücke kaufen. Alle[/center]
Gegenstände im Haus werden Eigentum der Bank.[/center]
Seid Ihr bereit, das Anwesen zu überschreiben?[/center]
[/end]"
299,"Euer Schiff ist uns %a Goldstücke wert.[/center]
Bedenkt, dass alle Gegenstände an Bord[/center]
Eigentum der Bank werden.[/center]
[/center]
Wollt Ihr Euer Schiff nun verkaufen?[/center]
[/end]"
300,"Drei Primär-, drei Haupt- und sechs Nebenfertigkeiten[/center]
müssen noch ausgewählt werden.[/center]
[/end]"
301,"Gebt Eurer Charakterklasse erst noch einen Namen.[/center]
[/end]"
302,"Attributspfeil muss auf Null stehen, bevor es weitergehen kann.[/center]
[/end]"
303,"Euer Ruf muss ausbalanciert - also auf Null - stehen,[/center]
bevor es weiter gehen kann.[/center]
[/end]"
304,"Ihr könnt nicht noch mehr Vorteile auswählen.[/center]
[/end]"
305,"Ihr könnt nicht noch mehr Nachteile auswählen.[/center]
[/end]"
306,"Der Schwierigkeits-Dolch darf nicht im roten Bereich[/center]
sein. Wählt mehr Vorteile, um den Pfeil herauf- und[/center]
mehr Nachteile, um ihn herunterzubewegen[/center]
[/end]"
