- Text database for game settings window.

schema: *key,text
dunMicMapInnerColorInfo,                            Farbe die die inneren Dungeon-Blöcke auf der Mikrokarte haben werden wenn die QoL-Option aktiv ist
dunMicMapBorderColor,                               Äußere Blockfarbe
dunMicMapBorderColorInfo,                           Farbe die die rahmenbildenden Dungeon-Blöcke auf der Mikrokarte haben werden wenn die QoL-Option aktiv ist


modSystem,                                          Mod-System
modSystemInfo,                                      Unterstützung für Mods aktivieren.
assetInjection,                                     Asset-Injektion
assetInjectionInfo,                                 Import von Asset-Überschreibungen aus aktivierten Mods und Loose Files.
compressModdedTextures,                             Komprimierung modifizierter Texturen
compressModdedTexturesInfo,                         Importiert komprimierte Texturen die weniger Grafikspeicher benötigen.
gameConsole,                                        Terminal/Konsole
gameConsoleInfo,                                    Eingabe für Konsolenbefehle aktivieren
nearDeathWarning,                                   Warnung bei nahendem Tod
nearDeathWarningInfo,                               Blinkende/Pulsierende Bildschirmeffekte anzeigen um vor dem Nahen Tod zu warnen.
alternateRandomEnemySelection,                      Alternative Zufallsauswahl für Gegner
alternateRandomEnemySelectionInfo,                  Erstellt zufällige Gegner in Dungeons mit mehr Variabilität.
advancedClimbing,                                   Erweitertes Klettersystem
advancedClimbingInfo,                               Wandklettern in alle Richtungen mit abspringen und festhalten
dungeonAmbientLightScale,                           Leuchtstärke Dungeonlicht
dungeonAmbientLightScaleInfo,                       Stärke der Umgebungsbeleuchtung in Dungeons
nightAmbientLightScale,                             Leuchtstärke Nachtlicht
nightAmbientLightScaleInfo,                         Stärke des Lichts bei Nacht in Innenräumen und Außenbereichen
playerTorchLightScale,                              Leuchtstärke Spielerfackel
playerTorchLightScaleInfo,                          Stärke der Spielerfackel
playerTorchFromItems,                               Spielerfackel basierend auf Gegenständen
playerTorchFromItemsInfo,                           Spielerfackel wird durch im Spiel vorhandene Lichtquellen aktiviert
combatVoices,                                       Kampfschrei
combatVoicesInfo,                                   Spieler und NPCs geben Laute von sich wenn sie angreifen oder getroffen werden
enemyInfighting,                                    Feindseligkeit unter Gegnern
enemyInfightingInfo,                                KI-Charaktere kämpfen gegeneinander wenn sie nicht verbündet sind
enhancedCombatAI,                                   Erweiterte Kampf-Ki
enhancedCombatAIInfo,                               Verschiedene Verbesserungen der Kampf-KI die im Originalspiel nicht vorhanden sind
allowMagicRepairs,                                  Magische Gegenstandsreparaturen zulassen
allowMagicRepairsInfo,                              Ermöglicht die Reparatur magischer Gegenstände

resolution,                                         Auflösung
resolutionInfo,                                     Bildschirmauflösung
fullscreen,                                         Vollbild
fullscreenInfo,                                     Vollbild aktivieren
exclusiveFullscreen,                                Exklusives Vollbild
exclusiveFullscreenInfo,                            Exklusives Vollbild aktivieren
runInBackground,                                    Im Hintergrund ausführen
runInBackgroundInfo,                                Soll das Spiel im Hintergrund weiterlaufen wenn es nicht mehr das aktive Fenster ist
qualityLevel,                                       Qualitätsstufe
qualityLevelInfo,                                   Allgemeine Qualitätsstufe
mainFilterMode,                                     Hauptfilter
mainFilterModeInfo,                                 Filter für Spieletexturen
guiFilterMode,                                      GUI Filter
guiFilterModeInfo,                                  Filter für HUD-Bilder
videoFilterMode,                                    Video-Filter
videoFilterModeInfo,                                Filter für Filme
antiAliasingMethod,                                 Anti-Aliasing-Methode
antiAliasingMethodInfo,                             Anti-Aliasing-Methode auswählen
ambientOcclusionIntensity,                          Intensität der Umgebungsokklusion
ambientOcclusionIntensityInfo,                      Die Intensität des Postprozesseffekts für Umgebungsokklusion einstellen
fovSlider,                                          Sichtfeld
fovSliderInfo,                                      Der sichtbare Bereich der dargestellt wird
terrainDistance,                                    Terrain-Entfernung
terrainDistanceInfo,                                Maximale Entfernung der aktiven Terrains von der Spielerposition
shadowResolutionMode,                               Schattenauflösung
shadowResolutionModeInfo,                           Qualität der Schatten
dungeonLightShadows,                                Schatten in Dungeons
dungeonLightShadowsInfo,                            Dungeonlichter werfen Schatten
interiorLightShadows,                               Schatten in Innenräumen
interiorLightShadowsInfo,                           Innenlichter werfen Schatten
exteriorLightShadows,                               Schatten im Freien
exteriorLightShadowsInfo,                           Sonnenlicht wirft Schatten
ambientLitInteriors,                                Vereinfachte Innenbeleuchtung
ambientLitInteriorsInfo,                            Verwendet weniger komplexe Beleuchtung für höhere Leistung in Innenräumen

- Configure Joystick Controls UI

rightClickString,                                   Rechtsklick
middleClickString,                                  Mittelklick
leftClickString,                                    Linksklick
backString,                                         Zurück
configureJoystickControls,                          Joystick konfigurieren
continue,                                           WEITER
enableController,                                   Controller aktivieren
invert,                                             Invertieren
lookSensitivity,                                    Blickempfindlichkeit
uiMouseSensitivity,                                 UI Mausempfindlichkeit
maximumMovementThreshold,                           Maximale Bewegungsgrenze
deadzone,                                           Totzone
movementH,                                          Bewegung Hoch
movementV,                                          Bewegung Vert.
cameraH,                                            Kamera Hoch
cameraV,                                            Kamera Vert.
primary,                                            Primär
secondary,                                          Sekundär

- Options shared among sliders. Missing keys use default text.

Off,                                                Aus
On,                                                 Ein
HQ,                                                 HQ

Low,                                                Niedrig
Medium,                                             Mittel
High,                                               Hoch
Very High,                                          Sehr hoch

Low (25%),                                          Niedrig (25%)
Medium (50%),                                       Mittel (50%)
High (75%),                                         Hoch (75%)
V. High(100%),                                      Sehr hoch (100%)

Point,                                              Punkt
Bilinear,                                           Bilinear
Trilinear,                                          Trilinear   

none,                                               Keine
classic,                                            Klassisch
climate,                                            Klima
climateOnly,                                        NurKlima
random,                                             Zufällig
randomOnly,                                         NurZufällig
minimal,                                            Minimal
large,                                              Groß
colour,                                             Farbe
monochrome,                                         Monochrom

reset,                                              Zurücksetzen
