Key,Value
Armorers,Rüstungsschmieden
Banks,Banken
Bookstores,Buchläden
Clothingstores,Kleiderläden
Gemstores,Schmuckläden
Generalstores,Handelshäuser
Guilds,Gilden
Libraries,Bibliotheken
Pawnshops,Pfandleihen
Taverns,Tavernen
Weaponsmiths,Waffenschmieden
Localtemples,Lokale Tempel
Sir,Sir
Ma'am,Ma'am
oldLeaderFate0,starb an Herzversagen
oldLeaderFate1,ist unglücklich gestürzt
oldLeaderFate2,starb an der Pest
oldLeaderFate3,war zum Rücktritt gezwungen
oldLeaderFate4,wurde gestürzt
oldLeaderFate5,wurde in seinem Bett ermordet
toBeReplacedStringRegional,Jede/r
replacementStringRegional,jede/r
comma,","
resolvingError,... egal ...
chameleon,Chamäleon
charm,Bezaubern
comprehendLanguages,Sprachverständnis
continuousDamage,Dauerschaden
createItem,Gegenstand erschaffen
cure,Heilen
detect,Entdecken
disintegrate,Auflösen
dispel,Bannen
drain,Entzug
elementalResistance,Elementarwiderstand
fortifyAttribute,Attribut festigen
freeAction,Freie Handlung
heal,Wiederherstellen
identify,Identifizieren
invisibility,Unsichtbarkeit
levitate,Levitieren
light,Licht
lock,Schloss
morphSelf,Morphen (Selbst)
open,Öffnen
pacify,Beruhigen
paralyze,Lähmen
regenerate,Regenerieren
shadow,Schatten
shield,Schild
silence,Stille
slowfall,Langsamer Fall
soulTrap,Seelenfalle
spellReflection,Zauberreflektion
spellResistance,Magieresistenz
teleport,Teleport
transfer,Übertragen
waterBreathing,Wasseratmung
waterWalking,Wasserwandeln
fire,Feuer
frost,Frost
magicka,Magie
poison,Gift
shock,Blitz
enemy,Feind
magic,Magie
treasure,Schatz
fatigue,Ausdauer
health,Gesundheit
spellPoints,Spruchpunkte
disease,Krankheit
paralyzation,Lähmung
animal,Tier
normal,Normal
TRUE,WAHR
noName,<kein-name>
youDontHaveTheSpellPoints,Euch fehlen die Spruchpunkte.
youAreSilenced,Ihr seid zum Schweigen gebracht.
youAreParalyzed,Ihr seid gelähmt.
youFeelDrained,Ihr fühlt Euch ausgezehrt.
youAreFortified,Ihr fühlt Euch gefestigt.
youAreInvisible,Ihr seid unsichtbar
youAreLevitating,Ihr levitiert.
youAreRegenerating,Ihr regeneriert Euch.
youAreBlending,Ihr blendet.
youAreAShade,Ihr seid ein Schatten.
slowFallActive,Langsamer Fall aktiv.
saveVersusSpellMade,Zauber wirkungslos.
spellEffectFailed,Zaubereffekt gescheitert.
spellAbsorbed,Zauber absorbiert!
spellReflected,Zauber reflektiert!
spellResisted,Zauber widerstanden!
readyToLock,Bereit zum Verschließen.
readyToOpen,Bereit zum Öffnen.
doorLocked,Tür ist jetzt verriegelt.
doorAlreadyLocked,Tür bereits verriegelt.
openFailed,Schloss ist zu stark.
noSpellbook,Ihr habt kein Zauberbuch!
sunlightDamageFastTravelDay,Ihr könnt bei Tag nicht schnellreisen.
trapActive,Falle aktiv.
trapHumanoid,Die Falle ist bei Humanoiden nutzlos.
trapSuccess,Gefangene Seele.
trapFail,Falle fehlgeschlagen.
trapNoneEmpty,Ihr habt keine leeren Seelenfallen!
stamina,Ausdauer
orcStrength,Orkstärke
healing,Heilung
restorePower,Kraft wiederherstellen
resistFire,Feuerresistenz
resistFrost,Frostresistenz
resistShock,Blitzresistenz
cureDisease,Krankheit heilen
slowFalling,Langsamer Fall
healTrue,Heilung (vollständig)
levitation,Levitation
resistPoison,Giftresistenz
curePoison,Gift heilen
chameleonForm,Chamäleon
shadowForm,Schattenform
purification,Läuterung
LeatherCuirass,Lederharnisch
LeatherGauntlets,Lederhandschuhe
LeatherGreaves,Lederbeinschienen
LeatherLeftPauldron,Lederschulterpl. l.
LeatherRightPauldron,Lederschulterpl. r.
LeatherHelm,Lederhelm
LeatherBoots,Lederstiefel
ChainCuirass,Kettenharnisch
ChainGauntlets,Kettenhandschuhe
ChainGreaves,Kettenbeinschienen
ChainLeftPauldron,Kettenschulterpl. l.
ChainRightPauldron,Kettenschulterpl. r.
ChainHelm,Kettenhelm
ChainBoots,Kettenstiefel
SteelCuirass,Stahlharnisch
SteelGauntlets,Stahlhandschuhe
SteelGreaves,Stahlstiefel
SteelLeftPauldron,Stahlschulterpl. l.
SteelRightPauldron,Stahlschulterpl. r.
SteelHelm,Stahlhelm
SteelBoots,Stahlstiefel
SteelBuckler,Stahlbuckler
SteelDagger,Stahldolch
SteelLongsword,Stahllangschwert
SteelStaff,Stahlstab
ShortBow,Kurzbogen
Arrows,Pfeile
SteelBattleAxe,Stahlkampfaxt
Robes,Robe
CastWhenUsed,Wirkung durch Benutzung:
CastWhenHeld,Dauerhafte Wirkung:
CastWhenStrikes,Wirkung bei Treffer:
ExtraSpellPts,Extra-Spruchpkt.
PotentVs,Stark gegen
RegensHealth,Gesundheitsregen.
VampiricEffect,Vampireffekt
IncreasedWeightAllowance,Tragfähigkeit
RepairsObjects,Repariert Objekte
AbsorbsSpells,Zauberabsorption
EnhancesSkill,Steigert Fertigkeit
FeatherWeight,Federgewicht
StrengthensArmor,Stärkt Rüstung
ImprovesTalents,Verbessert Talente
GoodRepWith,Guter Ruf bei
SoulBound,Gebundene Seele
ItemDeteriorates,Abnutzung
UserTakesDamage,Schaden für Benutzer
VisionProblems,Sichtprobleme
WalkingProblems,Laufprobleme
LowDamageVs,Schwach gegen
HealthLeech,Gesundheitsentzug
BadReactionsFrom,Reagiert schlecht auf
ExtraWeight,Zusatzgewicht
WeakensArmor,Schwächt Rüstung
BadRepWith,Schlechter Ruf bei
inHolyPlaces,an heiligen Stätten
wheneverUsed,bei Benutzung
unlessUsedDaily,wenn nicht täglich genutzt
unlessUsedWeekly,wenn nicht pro Woche genutzt
fromHumanoids,Humanoide
fromAnimals,Tiere
fromDaedra,Daedra
duringWinter,im Winter
duringSpring,im Frühling
duringSummer,im Sommer
duringFall,im Herbst
duringFullMoon,bei Vollmond
duringHalfMoon,bei Halbmond
duringNewMoon,bei Neumond
nearUndead,bei Untoten
nearDaedra,bei Daedra
nearHumanoids,bei Humanoiden
nearAnimals,bei Tieren
undeadLower,Untote
humanoidLower,Humanoide
animalsLower,Tiere
animalsUpper,Tiere
allTheTime,jederzeit
inSunlight,bei Sonnenlicht
inDarknessLower,bei Dunkelheit
atRange,auf Reichweite
whenStrikes,bei Schlag
add25Percent,25 % zusätzlich
add50Percent,50 % zusätzlich
hearing,Scharfes Gehör
athleticismLower,Athletik
adrenalineRushLower,Adrenalinrausch
commoners,Gemeinem Volk
merchants,Händlern
scholars,Gelehrten
nobility,Adligen
underworld,Unterwelt
all,allen
noRoomInItem,Kein Platz im Gegenstand.
noEnchantments,Ihr habt keine Verzauberungen für diesen Gegenstand vorbereitet.
noMonstersNearby,Keine Monster in der Nähe.
Fire,Feuer
Frost,Frost
Poison,Gift
Shock,Blitz
Magicka,Magicka
Animal,Tiere
Undead,Untote
Humanoid,Humanoide
Daedra,Daedra
dialogButtonInfo,Umschalten zwischen: Aktive Quests; Erledigte Quests; Notizbuch; Nachrichten
activeQuests,Aktive Quests
activeQuestsInfo,"Klickt auf eine aktive Quest mit einem Zielort, um die Reise zu beginnen."
finishedQuests,Erledigte Quests
finishedQuestsInfo,"Klicken Sie auf einen Eintrag, um ihn zu verschieben. Rechtsklick zum Löschen."
notebook,Notizbuch
notebookInfo,"Klickt auf einen Eintrag, um ihn zu verschieben. Rechtsklick zum Löschen. Klickt dazwischen, um eine neue Notiz hinzuzufügen."
messages,Nachrichten
messagesInfo,Zuletzt angezeigte Nachrichten
confirmMoveHead,Eintrag verschieben
confirmMove,Möchtet Ihr die Position dieses Eintrags ändern?
confirmMove2,(Er wird vor den nächsten angeklickten Eintragen verschoben)
confirmRemoveHead,Eintrag löschen
confirmRemove,"Seid Ihr sicher, dass Ihr diesen Eintrag entfernen möchtet?"
confirmRemove2,(Er wird dauerhaft gelöscht und kann nicht wiederhergestellt werden)
confirmFindHead,Zum Zielort reisen
confirmFind,"Möchtet Ihr die Weltkarte öffnen, um dorthin zu reisen:"
confirmFind2,(Hinweis: Ihr könnt die Reise über die Weltkarte abbrechen)
enterNote,Geben Sie Ihre Notiz ein:
completedQuest,abgeschlossen
endedQuest,erledigt
finishQuestHeader,{0} {1} am {2}:
quest,Quest
noteHeader,{0} in {1}:
houseDeed,Ihr habt die Urkunden erhalten und besitzt nun ein Haus in %town in %region.
levelProgress,Bis zur nächsten Stufe: {0}%
readMap,Ihr habt den Standort von %map nach dem Studium einer Karte entdeckt.
readMapTG,Die Diebesgilde hat den streng gehüteten Aufenthaltsort einer Schatztruhe namens %map enthüllt.
readMapDB,"Die Dunkle Bruderschaft hat das Geheimnis einiger schatzbeladener Krypten gelüftet, die sich in %map befinden."
readMapFail,Du hast den auf der Karte angegebenen Ort bereits entdeckt.
howManyItems,Wie viele Gegenstände kannst du aufnehmen(maximal {0})?
wagonFullGold,Euer Wagen kann nur {0} Goldstücke aufnehmen.
itemsIdentified,Gegenstand identifiziert.
repairDone,FERTIG
repairDays,%d Tage
interruptRepair,"Den Gegenstand zurücknehmen, bevor er repariert ist?"
repairNote,Habe {0} zur Reparatur bei {1} gelassen.
doesntNeedIdentify,Das muss nicht identifiziert werden.
goldAmount,{0} Goldstücke
goldWeight,Gewicht: {0} kg
letterOfCredit,Ihr habt mit einem Kreditbrief bezahlt.
stealSuccess,Ihr habt Erfolg.
stealFailure,Ihr habt keinen Erfolg.
cannotRemoveItem,Ihr könnt den Gegenstand nicht entfernen.
cannotCarryAnymore,Mehr könnt Ihr nicht tragen.
cannotHoldAnymore,Euer Karren ist voll. 
cannotUseThis,Nicht benutzbar.
equippingWeapon,%s angelegt
lightDouse,Ihr löscht die %it.
lightLight,Ihr entfacht die %it.
lightDies,Eure %it flackert und erlischt.
lightEmpty,Eure %it hat kein Öl mehr.
lightRefuel,Ihr schüttet eine Flasche Öl über Eure %it.
lightFull,Eure %it ist bereit.
kgSrc,Kilogramm
kgRep,kg
damSrc,Schadenspunkte
damRep,Schaden
arSrc,Rüstungswert
arRep,Rüstung
northern,(nördlich)
southern,(südlich)
noWagon,Ihr besitzt keinen Karren.
exitTooFar,"Der Ausgang ist zu weit entfernt, um auf Euren Karren zuzugreifen."
bookUnavailable,Das Buch ist zerstört und unlesbar.
unknownAuthor,Unbekannter Verfasser
cannotDeleteVamp,Ihr könnt Vampirzauber nicht löschen.
cannotDeleteWere,Ihr könnt Lykanthropiezauber nicht löschen
noRecipes,Ihr habt keine Rezepte.
potionMixed,Euer Trank wurde gemischt.
potionFailed,Aus den Zutaten wurde kein wirksamer Zaubertrank gebraut.
reqIngredients,Ihr habt nicht die erforderlichen Zutaten.
region,Region
account,Konto
loan,Darlehen
dueDate,Fälligkeitsdatum
noAccount,Kein Konto
loanReminder,"Ihr habt ein Darlehen in Höhe von {0} Goldstücken, das in"
loanReminder2,weniger als {0} Monaten in {1} fällig wird
classicIcons,Klassik
suggestedIcons,Vorschlag
serviceMembersOnly,Meine Dienste sind nur für Mitglieder.
serviceDonateHowMuch,Wie viel Geld spenden :
curedDisease,Ihr seid geheilt.
freeHolidayCuring,Durch den heutigen Feiertag werdet Ihr kostenlos geheilt.
gettingQuests1,"Hmm, mal sehen, welche Aufgauben wir haben."
gettingQuests2,"Bitte habt Geduld und wartet einen Moment hier, %pcf."
illegalRestWarning,"Es ist illegal, in oder in der Nähe einer Stadt zu rasten. Trotzdem machen?"
cannotLoiterMoreThanXHours1,Ihr könnt nicht länger warten
cannotLoiterMoreThanXHours2,als {0} Stunden.
automapToolTipTextGridButton,"Linksklick: Umschalten zwischen 2D-Draufsicht und 3D-Ansicht (Hotkey: {0})\Rechtsklick: Rotationsachse auf Spielerposition zurücksetzen (Hotkey: {1})\Mausrad nach oben, während Maus über Button ist: Perspektive einnehmen (nur 3D-Modus)\Mausrad nach unten, während Maus über Button ist: Perspektive abnehmen (nur 3D-Modus)"
