Key,Value
23348,Trommler
23349,junger Glöckner
23350,vermummter Mann
23351,vermummter Mann
23352,vermummte Frau
23353,beinahe nackter Mann
23354,beinahe nackter Mann
23355,Hufschmied
23424,majestätische Fee
23425,majestätische Fee
23426,Wache
23427,Wache
23428,adlig wirkender Mann
23429,extravaganter junger Mann
23430,bärtiger König
23431,turbantragender König
23432,weißhaarige Königin
23433,brünette Königin
23434,König
23435,Königin
23436,Mönch mit Kutte
23437,hübscher junger König
23438,atemberaubende Brünette
23439,blinde alte Vettel
23440,modischer fetter Mann
23441,schmuddelige Hexe
23442,prachtvolle Rothwardonin
23443,majestätischer Ork
23444,Dunkelelfenkönig
23445,blonde Königin
23552,wohlhabender Händler
23553,Frau mit einem Mantel
23554,Mann mit grünem Gewand
23555,fetter Flötenspieler
23556,bärenstarker junger Mann
23557,hübsche Blonde
23558,barbusige Hure
23559,gepflegt wirkende Blonde
23560,blonde Dirne
23561,wohlgestaltete Brünette
23562,umwerfende Blonde
23563,nackte blonde Frau
23564,nackte Brünette
23565,nackte Blonde
23566,nackte Brünette
23567,zerlumpter Junge
23568,dicklicher alter Mann
23569,bulliger bauer
23570,zähe Teufelin
23571,attraktive Blonde
23572,Mann in Purpur
23573,bärtiger alter Mann
23574,Frau mit einem Stab
23575,Frau in grünen Hosen
23576,dunkelhaariger Schurke
23577,hellhaariger Jüngling
23578,rothaarige Frau
23579,erbärmlicher Bettler
23580,hitzköpfige Fuchtel
23581,blau gewandete Blonde
23582,dunkelhäutige Frau
23583,kahlköpfiger Sklave
23584,dunkle Kriegerin
23585,dunkle vollbusige Hure
23586,Mann zu Pferde
25472,Licht
25473,Licht
25474,Daedroth
25475,Beschwörung
25476,Rast
25477,Hof
25478,Grube
25479,Effekt
25480,Eingang
25481,Pfad
25482,Anfang
25483,Aufgabe
25484,Erstellen
25485,Gefängnis
25486,Gefängnisausgang
25487,Zufallsmonster
25488,Monster
42771,Gothryd
42773,Aubk-i
42752,Provlith
42753,Popudax
42757,Cyadasga
42756,Mynisera
42770,Mobar
42769,Breitwell
45703,Prinz Lhotum
42762,Fürstin Nordbrück
45711,Königin Akorithi
45697,Prinz Greklith
44305,Prinzessin Elysana
44288,Prinzessin Morgiah
44310,Königin Barenziah
44309,König Eadwyre
44304,Prinz Helseth
44299,Karethys
44295,Fürst Kastellian
44298,blau verhüllte Frau (Hof Wegesruh)
42768,Wache
44308,Wache
45709,Wache
42758,Hofnarr
44291,Hofnarr
42755,Hofnarr
42763,Lautenspieler
42772,modischer fetter Mann
42759,alter bärtiger Mann
42761,Page
42767,Wache
44307,Wache
45708,Wache
44302,weise wirkender Mann
45701,Flötenspieler
45698,Frau in Grau
45700,ungepflegter Seemann
45706,beinahe nackter Mann
42766,Hufschmied
