Key,Value
209,Langes Hemd
210,Offene Tunika
211,Schurz
212,Langer Rock
213,Strumpfhose
214,Kurzes Hemd
215,Langes Hemd
216,Wams
217,Einfaches Einzelbett
218,Edles Einzelbett
219,Einfaches Doppelbett
220,Edles Doppelbett
221,Großer Eichentisch
222,Großer Kirschtisch
223,Großer Mahagonitisch
224,Großer Teakholztisch
225,Kleiner Eichentisch
226,Kleiner Kirschtisch
227,Kleiner Mahagonitisch
228,Kleiner Teakholztisch
229,Eichenstuhl
230,Kirschstuhl
231,Mahagonistuhl
232,Teakholzstuhl
233,Vorhänge
234,Edle Vorhänge
235,Großes Kissen
236,Kleines Kissen
237,Kleiner einfacher Vorleger
238,Großer einfacher Vorleger
239,Kleiner feiner Vorleger
240,Großer feiner Vorleger
241,Großer Wandteppich
242,Mittlerer Wandteppich
243,Kleiner Wandteppich
244,Große Felle
245,Kleine Felle
246,Kandelaber
247,Fackel
248,Laterne
249,Bandage
250,Strauchwerk
251,Blumen
252,Öl
253,Kerze
254,Teleskop
255,Schuppen
256,Globus
257,Skelett
258,Gebetskranz
259,Seltenes Symbol
260,Gewöhnliches Symbol
261,Glocke
262,Heiliges Wasser
263,Talisman
264,Religiöser Gegenstand
265,Kleine Statue
266,Große Statue
267,Ikone
268,Skarabäus
269,Heilige Kerze
270,Heiliger Dolch
271,Heiliges Buch
272,Altar
273,Wasserbecken
274,Seelenfalle
275,Kreditbrief
276,Goldstücke
277,Buch
278,Trankrezept
279,Pergament
280,Totem
281,Toter Körper
282,Mantella
283,Finger
284,Gemälde
285,Hausurkunde
286,Schiffsurkunde
287,Karte
